SalesOrderNumber,SalesAmount,Sconto applicato,Prezzo finale
SO51131,175753.58,11822.8914,163930.68860000005
SO55282,166854.16,6476.0432,160378.11680000002
SO46616,153431.37,2594.6154000000006,150836.75460000001
SO46981,149533.15,2142.7767,147390.3733
SO47395,148014.93,1860.9878,146153.94219999996
SO47369,141523.24,1445.519,140077.72100000008
SO47355,130185.05,924.4162,129260.63379999997
SO51822,130409.95,1537.6148,128872.33520000002
SO44518,127099.79,901.6576000000001,126198.13239999999
SO57150,122285.54,0,122285.54000000001
SO51858,131627.89,9343.2703,122284.6197
SO43875,122743.91,982.225,121761.68499999997
SO46607,121037.09,855.2577999999999,120181.83219999999
SO46660,119414.82,2140.8552,117273.96479999999
SO67305,116729.89,576.7237000000001,116153.1663
SO43884,116248.31,552.1572,115696.1528
SO53573,116813.4,1503.6506000000002,115309.74940000002
SO47455,112722.68,0,112722.67999999998
SO51830,112772.73,161.5226,112611.2074
SO69531,112312.42,0,112312.42000000001
SO47441,113726.58,1439.49,112287.09
SO57186,112299.77,255.5,112044.26999999997
SO51739,111553.7,517.8952,111035.80480000001
SO57105,111498.09,1448.028,110050.06200000002
SO46643,110830.04,1576.9432000000002,109253.0968
SO69535,109694.44,711.7488,108982.69119999996
SO44528,108783.37,0,108783.37
SO51126,116784.79,8133.567,108651.22300000004
SO63284,108183.94,0,108183.94000000002
SO47018,107990.78,634.2299999999999,107356.54999999999
SO51783,107930.05,660.2158000000001,107269.83420000001
SO53621,107105.49,176.67079999999999,106928.8192
SO69508,106267.61,0,106267.60999999999
SO53506,106206.64,701.6550000000001,105504.985
SO50289,105310.23,0,105310.23000000001
SO44530,104959.79,1.2024,104958.5876
SO47027,105374.95,493.28999999999996,104881.65999999997
SO50683,105041.66,559.104,104482.55600000001
SO63291,106448.56,2124.2570000000005,104324.303
SO53460,107034.08,2761.7566,104272.32340000002
SO55254,105239.01,1086.0815999999995,104152.9284
SO44795,104588.57,477.2001,104111.36990000002
SO50297,103362.1,0,103362.10000000002
SO47416,103862.16,563.0024000000001,103299.1576
SO47400,103584.09,358.0318000000001,103226.05820000003
SO46067,101857.11,23.796000000000003,101833.31399999998
SO47451,102392.18,667.4375,101724.7425
SO51711,101677.5,69.0812,101608.41880000001
SO67298,102725.7,1287.6372,101438.06280000003
SO46645,101372.9,36.2842,101336.61580000001
SO51761,105952.64,4729.624,101223.01600000006
SO48336,100856.58,404.46220000000005,100452.11780000002
SO46066,100378.71,0,100378.70999999999
SO47990,100216.3,0,100216.29999999999
SO47658,99514.27,0,99514.27000000002
SO44777,99501.86,0,99501.86
SO47712,99759.07,496.3506,99262.7194
SO46629,99420.88,424.502,98996.378
SO51160,98967.39,338.049,98629.34099999997
SO51823,107064.19,8997.66,98066.53000000001
SO51132,99783.95,1812.1784000000002,97971.77159999998
SO48393,97962.15,0,97962.15
SO44552,97915.2,0,97915.20000000001
SO46642,98012.93,211.41,97801.51999999997
SO49884,98266.38,475.03520000000003,97791.3448
SO58980,97647.65,0,97647.65000000001
SO50204,97596.87,0,97596.87
SO51721,98093.27,568.6766999999999,97524.59329999998
SO48043,97455.47,0,97455.47000000003
SO45529,97078.15,0,97078.15
SO49888,96605.72,0,96605.72
SO47366,96589.19,12.4758,96576.7142
SO53535,106905.36,10419.720000000001,96485.64
SO50726,96010.84,0,96010.84
SO50694,95434.6,0,95434.59999999999
SO50252,95414.86,0,95414.85999999999
SO47988,95370.28,0,95370.28000000001
SO48048,95133.84,0,95133.84000000001
SO50208,94672.91,0,94672.91000000002
SO61184,94588.02,94.7232,94493.29680000004
SO46056,94326.84,0,94326.83999999997
SO51857,100922.17,6782.9084,94139.26159999998
SO46090,94303.73,469.79760000000005,93833.93239999999
SO47033,93894.38,303.032,93591.34800000001
SO50222,93694.22,238.99620000000002,93455.22380000004
SO57143,94024.38,626.6214,93397.7586
SO51123,93828.64,431.71180000000004,93396.92819999998
SO57054,94426.64,1349.0124,93077.6276
SO50304,93032.29,0,93032.29000000002
SO69471,95037.98,2097.3198,92940.66019999997
SO44762,92836.48,4.2922,92832.1878
SO46657,92891.75,175.4554,92716.29459999998
SO53458,98517.05,6239.3496,92277.70040000003
SO53472,92642.85,502.31890000000004,92140.53110000004
SO67297,93103.86,1768.7344,91335.1256
SO44127,91014.6,0,91014.6
SO51153,91052.57,631.2118,90421.3582
SO46959,90454.32,281.88,90172.43999999999
SO53497,91028.8,1008.5072,90020.29279999998
SO49509,89758.34,0,89758.34
SO45300,89704.12,0,89704.12000000001
SO49837,89596.15,0,89596.14999999998
SO48306,90166.94,605.5566,89561.38339999999
SO47365,89880.88,547.9764,89332.9036
SO46987,89388.44,115.0476,89273.39240000003
SO44750,88977.23,0,88977.23000000001
SO46666,88920.24,231.01420000000002,88689.22580000003
SO49052,88446.64,0,88446.64000000001
SO49828,88444.35,116.64500000000001,88327.70500000002
SO48005,87999.85,5.4628,87994.38720000001
SO44284,87873.83,6.014500000000001,87867.81550000001
SO53518,88242.92,459.94520000000006,87782.97479999992
SO48307,87708.81,15.4984,87693.31160000002
SO47986,87942.32,288.3408,87653.9792
SO50663,88147.67,808.4909000000002,87339.17910000004
SO63131,87012.93,38.49,86974.44000000002
SO44788,86795.96,0,86795.95999999999
SO48057,86679.36,0,86679.36
SO47718,86493.12,0,86493.12000000002
SO46964,86763.9,361.91779999999994,86401.9822
SO57136,86385.2,4.446000000000001,86380.75399999997
SO49485,86352.24,0,86352.24000000002
SO49856,86572.92,487.4846,86085.43540000002
SO45308,85994.75,0,85994.75
SO44534,86452.09,469.79760000000005,85982.29239999999
SO48788,85919.65,0,85919.64999999998
SO51735,88772.79,3681.164800000001,85091.62520000002
SO51734,85699.6,944.3351000000001,84755.2649
SO53465,84829.22,116.86370000000001,84712.3563
SO58920,85413.16,1000.7169000000001,84412.4431
SO47041,84873.67,493.28999999999996,84380.37999999999
SO69454,84176.05,208.73580000000004,83967.31420000001
SO69437,84650.96,1504.2315,83146.72849999997
SO67316,82999.3,64.4743,82934.82569999999
SO47683,82582.57,0,82582.57
SO49147,82168.59,0,82168.58999999998
SO44761,82101.8,0,82101.8
SO69561,82754.43,692.6139999999999,82061.816
SO63224,81696.29,0,81696.29
SO53562,81489.17,13.436399999999999,81475.7336
SO53563,81432.79,1.4587999999999999,81431.3312
SO51096,81787.78,557.2095,81230.57049999999
SO44100,81594.75,430.6478,81164.10220000001
SO48740,80856.95,0,80856.95
SO58972,80840.97,150.49,80690.47999999998
SO46647,81042.24,407.4168,80634.82320000001
SO49479,80673.49,108.9912,80564.49879999996
SO49843,80588.88,76.65650000000001,80512.22350000002
SO48735,80097.79,0,80097.79
SO48359,80477.79,484.11780000000005,79993.67220000003
SO51121,79681.14,46.540299999999995,79634.59969999999
SO46988,80544.83,916.1099999999999,79628.71999999999
SO57012,79958.57,410.33299999999997,79548.23700000001
SO49076,79070.31,0,79070.31000000001
SO48065,79066.52,0,79066.52000000002
SO48295,79722.18,722.6049,78999.57509999997
SO50672,79041.84,99.9086,78941.9314
SO45571,78882.79,0,78882.79
SO51714,78790.2,0,78790.2
SO48311,79074.23,317.891,78756.33900000002
SO49099,78579.93,0,78579.93
SO49879,78423.09,17.575,78405.51499999998
SO49821,78174.79,0,78174.78999999998
SO46611,78454.98,388.82020000000006,78066.1598
SO50270,78178.46,136.8835,78041.5765
SO47670,77490.23,9.5678,77480.66220000002
SO58963,77485.14,10.5534,77474.58660000002
SO55297,77452.06,58.55799999999999,77393.50199999998
SO46944,77647.72,305.0528,77342.66720000001
SO51124,77877.35,624.5494,77252.8006
SO51090,77499.46,259.00770000000006,77240.4523
SO69558,77009.33,331.8624,76677.4676
SO57034,76571.05,0,76571.04999999999
SO53530,76688.63,1042.1807000000001,75646.4493
SO46957,75467.96,117.0417,75350.91829999999
SO43890,75191.8,0,75191.8
SO57051,75990.6,846.0487,75144.55129999999
SO49844,75440.35,336.0562,75104.2938
SO47666,75293.89,291.40360000000004,75002.48640000002
SO46094,74719.66,0,74719.66
SO67287,74592.23,15.680400000000002,74576.54959999998
SO47391,74487.52,0,74487.52000000002
SO44523,74395.61,1.3224,74394.28760000001
SO55276,74984.05,662.6353999999999,74321.4146
SO57061,74367.57,69.9815,74297.5885
SO49127,74204.73,0,74204.73
SO51089,74265.1,115.5,74149.59999999999
SO49826,73988.22,25.1327,73963.0873
SO53527,74129.99,209.8124,73920.17760000001
SO47663,74025.68,227.065,73798.615
SO44086,73761.44,0,73761.44
SO58909,74229.96,624.7603999999999,73605.19959999999
SO46089,73568.21,0,73568.21
SO51745,73438.94,1.3546,73437.5854
SO63201,73270.17,0,73270.17
SO45061,73261.01,0,73261.01
SO57046,73194.89,81.8405,73113.04950000001
SO63171,73348.15,331.8624,73016.28760000003
SO48389,72958.62,0,72958.62000000001
SO47698,72950.2,62.7,72887.5
SO51855,72632.07,16.2404,72615.82960000001
SO47694,72573.62,236.1476,72337.47240000001
SO47377,72689.31,387.576,72301.73400000003
SO47970,72244.34,19.8455,72224.49450000002
SO46614,72391.3,259.6552,72131.64480000002
SO47045,72107.71,88.1243,72019.58570000001
SO58932,72303.87,413.1118,71890.75820000001
SO59064,71938.95,54.9042,71884.0458
SO58908,71805.49,31.8438,71773.6462
SO50322,71630.67,19.8455,71610.82450000002
SO48746,71863.61,264.3124,71599.29760000002
SO51105,71514.57,1.4587999999999999,71513.11119999998
SO51826,76402.5,5119.1556,71283.34440000002
SO46669,72634.5,1360.3165999999999,71274.1834
