Data,Data RegEx
"Dec 5, 2024",05/12/2024
"Jul 27, 2024",27/07/2024
"Jul 19, 2024",19/07/2024
"May 24, 2024",24/05/2024
"May 9, 2024",09/05/2024
"Jan 12, 2024",12/01/2024
"Dec 19, 2023",19/12/2023
"Sep 20, 2023",20/09/2023
"Jul 20, 2023",20/07/2023
"Mar 20, 2023",20/03/2023
"Feb 25, 2023",25/02/2023
"Feb 12, 2023",12/02/2023
"Jan 11, 2023",11/01/2023
"Dec 31, 2022",31/12/2022
"Mar 18, 2022",18/03/2022
"Mar 11, 2022",11/03/2022
"Feb 8, 2022",08/02/2022
"Dec 20, 2021",20/12/2021
"Aug 3, 2021",03/08/2021
"Jul 16, 2021",16/07/2021
"Jun 26, 2021",26/06/2021
"May 28, 2021",28/05/2021
"Feb 2, 2021",02/02/2021
"Jan 11, 2021",11/01/2021
"Sep 19, 2020",19/09/2020
"Sep 11, 2020",11/09/2020
"Aug 30, 2020",30/08/2020
"Aug 28, 2020",28/08/2020
"Jul 6, 2020",06/07/2020
"Jun 28, 2020",28/06/2020
"May 22, 2020",22/05/2020
"May 8, 2020",08/05/2020
"Apr 23, 2020",23/04/2020
"Apr 6, 2020",06/04/2020
"Oct 14, 2019",14/10/2019
"Aug 6, 2019",06/08/2019
"Jul 6, 2019",06/07/2019
"Feb 26, 2019",26/02/2019
"Feb 8, 2019",08/02/2019
"Dec 2, 2018",02/12/2018
"May 28, 2018",28/05/2018
"Apr 27, 2018",27/04/2018
"Mar 7, 2018",07/03/2018
"Feb 13, 2018",13/02/2018
"Feb 11, 2018",11/02/2018
"Jan 1, 2018",01/01/2018
"Nov 27, 2017",27/11/2017
"Oct 9, 2017",09/10/2017
"Oct 2, 2017",02/10/2017
"May 27, 2017",27/05/2017
"Apr 6, 2017",06/04/2017
"Feb 8, 2017",08/02/2017
"Jan 22, 2017",22/01/2017
"Jan 7, 2017",07/01/2017
"Nov 23, 2016",23/11/2016
"Oct 23, 2016",23/10/2016
"Sep 19, 2016",19/09/2016
"Aug 6, 2016",06/08/2016
"Mar 19, 2016",19/03/2016
"Mar 16, 2016",16/03/2016
"Dec 30, 2015",30/12/2015
"Dec 11, 2015",11/12/2015
"Nov 12, 2015",12/11/2015
"Nov 7, 2015",07/11/2015
"Sep 7, 2015",07/09/2015
"Jul 9, 2015",09/07/2015
"Apr 28, 2015",28/04/2015
"Feb 12, 2015",12/02/2015
"Jan 24, 2015",24/01/2015
"Dec 27, 2014",27/12/2014
"Dec 7, 2014",07/12/2014
"May 10, 2014",10/05/2014
"Jul 14, 2013",14/07/2013
"Jun 20, 2013",20/06/2013
"Apr 20, 2013",20/04/2013
"Sep 24, 2012",24/09/2012
"Sep 17, 2012",17/09/2012
"Sep 4, 2012",04/09/2012
"Aug 31, 2012",31/08/2012
"Jun 22, 2012",22/06/2012
"Jun 5, 2012",05/06/2012
"Mar 9, 2012",09/03/2012
"Feb 13, 2012",13/02/2012
"Oct 24, 2011",24/10/2011
"Sep 9, 2011",09/09/2011
"May 15, 2011",15/05/2011
"May 6, 2011",06/05/2011
"Apr 30, 2011",30/04/2011
"Feb 10, 2011",10/02/2011
"Sep 20, 2010",20/09/2010
"Apr 16, 2010",16/04/2010
"Apr 10, 2010",10/04/2010
"Mar 1, 2010",01/03/2010
"Oct 22, 2009",22/10/2009
"Aug 22, 2009",22/08/2009
"Apr 17, 2009",17/04/2009
"Mar 27, 2009",27/03/2009
"Dec 24, 2008",24/12/2008
"Dec 9, 2008",09/12/2008
"Apr 21, 2008",21/04/2008
"Jan 15, 2008",15/01/2008
"Oct 25, 2007",25/10/2007
"Jun 11, 2007",11/06/2007
"May 27, 2007",27/05/2007
"Mar 31, 2006",31/03/2006
"Mar 2, 2006",02/03/2006
"Feb 9, 2006",09/02/2006
"Dec 13, 2005",13/12/2005
"Sep 30, 2005",30/09/2005
"Sep 19, 2004",19/09/2004
"Aug 3, 2004",03/08/2004
"Jul 30, 2004",30/07/2004
